phrasal_verb,example,predicted_meaning
ladle out,Danlo coughed and bent over the oilstone to ladle out some hot dog grease melting in the pot.,same as ladle
ladle out,The wife was at the stove to ladle out the thin soup which was to form their Christmas Feast.,same as ladle
land in,At the age of 19 she landed a small role in a West End play.,to bring a plane down to the ground
land in,He was hoping to land the job on a permanent basis.,to bring a plane down to the ground
land in,His recklessness could land him in real trouble.,to bring a plane down to the ground
land in,It was after midnight by the time we landed.,to bring a plane down to the ground
land in,Motorboats landed supplies along the beaches.,to catch a fish and pull it out of the water
land in,She landed up in hospital with a broken leg.,to bring a plane down to the ground
land in,She was uninjured after landing in the snow.,to bring a plane down to the ground
land in,The hawk landed on a fence post near the road.,to bring a plane down to the ground
land in,The pilot was able to land the plane safely.,to bring a plane down to the ground
land in,The plane landed a couple of hours before dawn.,to arrive at a place by plane or boat
land in,The whole family landed on my doorstep for the weekend.,to bring a plane down to the ground
land in,Thousands of letters a week were landing on his desk.,to bring a plane down to the ground
land on,He really landed on me for being late.,to criticize someone severely
land up,"But then what about her now, leaving him with Phil, who was capable of hitting Johnny so hard he could easily land up in hospital.",to finally arrive at a place or situation after a series of events
land up,How did you land up studying astronomy?,to finally arrive at a place or situation after a series of events
land up,"The only problem is they're doing time, but if you just happened to land up in the same prison as them -- `",to finally arrive at a place or situation after a series of events
land up,We finally landed up at Tom’s house.,to finally arrive at a place or situation after a series of events
land up,"We happened to land up just at the wrong party spot,"" said Gareth.",to finally arrive at a place or situation after a series of events
land with,John was landed with the job of sorting Susan’s files when she left.,to give someone an unpleasant job that no one else wants to do
lap up,Her fellow holidaymakers lapped up the glorious view.,same as lap
lap up,The jokes were crude but the audience were lapping them up.,same as lap
lap up,The smiling couple appear to lapping up their time together.,same as lap
lap up,They lapped up their milk.,same as lap
lapse into,A hypnotized person lapses into a kind of trance.,"to change to a different, less usual, or less helpful way of speaking or behaving, often without realizing it"
lapse into,Now it was her turn to lapse into thought.,to gradually change to a quieter or less active state
lapse into,The manual occasionally lapses into incomprehensible jargon.,to gradually change to a quieter or less active state
lash down,It’s been lashing down for an hour.,to rain in large amounts and with a lot of force
lash out,"He wanted to swear, to curse... to lash out in frustration.",to spend a lot of money on something
lash out,His gaze became sharp and dangerous like that of a cornered animal that was prepared to lash out in order to protect itself.,to spend a lot of money on something
lash out,"I am hurting, and I want to lash out, share the pain, dilute my own grief.",to spend a lot of money on something
lash out,Occasionally the patients will lash out at the nurses.,to spend a lot of money on something
lash out,They lashed out at the council’s move to stop free parking.,to spend a lot of money on something
lash out,We lashed out £60 each on the best seats.,to spend a lot of money on something
lash out,When Guy picks you up you don't lash out because it's a long way down if he drops you.,to spend a lot of money on something
lash out at,Occasionally the patients will lash out at the nurses.,to spend a lot of money on something
lash out at,They lashed out at the council’s move to stop free parking.,to spend a lot of money on something
lash out at,We lashed out £60 each on the best seats.,to spend a lot of money on something
last out,"Always the first on the dance floor, always the last out of the club.",to manage to stay alive for a particular period of time
last out,I doubt whether our money is going to last out.,to continue to be enough for what people need
last out,It doesn’t look like she’ll last out the night.,to continue to be enough for what people need
last out,"When we rang off, I said, `Well, Flora and Evelyn, if we can last out a month or so longer, we should be off the hook with Bas.",to continue to be enough for what people need
last out,`I was accused of having raped and murdered a twelve-year-old kid when I was last out here.,to continue to be enough for what people need
latch onto,The media latched onto the rumour and reported it as fact.,to immediately become very interested in something that you discover
latch onto,"They might latch onto a new juicy tidbit about somebody else, but that didn't mean they'd ever forget about Rae.",to immediately become very interested in something that you discover
latch onto,Two boys tried to latch onto us as we were leaving.,to immediately become very interested in something that you discover
laugh at,He’s always been able to laugh at danger.,to say unkind things about someone when they are not there
laugh at,I always felt as though people were laughing at me behind my back.,to say unkind things about someone when they are not there
laugh at,"In a culture that too often lacks perspective, these cartoons give Americans the chance to laugh at themselves.",to say unkind things about someone when they are not there
laugh at,The other kids laughed at his haircut.,to say unkind things about someone when they are not there
laugh off,As if he'd picked up her change of mood he choked the laugh off.,to joke about something in order to show that you think it is not important or serious
laugh off,"Much as he would have liked to laugh off what Jerry Brahms was saying, his instincts were telling him to be more cautious.",to joke about something in order to show that you think it is not important or serious
laugh off,They just laughed off the rumours that they are getting married.,to joke about something in order to show that you think it is not important or serious
launch into,He immediately launched into a detailed account of his trip.,"to start something such as an explanation, project, or attack with a lot of enthusiasm"
launch into,"You see two sides to his personality when, within minutes of our meeting, he launches into a long speech about the environment.","to start something such as an explanation, project, or attack with a lot of enthusiasm"
launch out,She launched out on her own to start a new business.,"to start a new activity, especially one that involves some risk"
lay about,He said that his captors had laid about him with whips.,to attack someone by hitting them
lay aside,For years my mother laid aside a small amount from every pay cheque.,to not let yourself think about or be influenced by something so that you can achieve an aim
lay aside,"The text simply means that he laid aside, or put off, those divine aspects that would have kept him from becoming a man.",to not let yourself think about or be influenced by something so that you can achieve an aim
lay aside,They agreed to lay aside their differences for the good of their families.,to not let yourself think about or be influenced by something so that you can achieve an aim
lay aside,"‘What do you want?’ he said, laying aside his book.",to not let yourself think about or be influenced by something so that you can achieve an aim
lay before,I have some more research to do before I’m ready to lay the case before the committee.,"to offer something to someone to study, discuss, approve etc"
lay down,"Beryl lay down, her mind revolving round the day's happenings like a hamster on a wheel.",a way of saying ‘lie down’ that many people think is incorrect
lay down,He heard the rustle of the silk bedcover being turned down and the creak of the springs as the woman lay down.,a way of saying ‘lie down’ that many people think is incorrect
lay down,"I closed the file, turned out the lights, and lay down.",a way of saying ‘lie down’ that many people think is incorrect
lay down,"Moira was full of bright ideas about the mixing, and some synth effects she wanted me to lay down.",a way of saying ‘lie down’ that many people think is incorrect
lay down,Please stop writing and lay down your pencils.,"to put something down in order to show you are not going to use it again, for example a weapon or tool"
lay down,The EU has laid down tough standards for water quality.,"to put something down in order to show you are not going to use it again, for example a weapon or tool"
lay down,The rules laid down that he could not directly intervene.,a way of saying ‘lie down’ that many people think is incorrect
lay down,With kids like that you have to lay down the law and let them see you’re serious.,to tell someone what to do or how to behave in a way that shows that you expect them to obey you completely
lay in,A long meandering valley lay in a huge curving sandstone fault on the southern side of the road.,to get and keep a supply of something such as food to use in the future
lay in,"Knowing I would soon wake at Emerson's side, I lay in drowsy content enjoying the voluptuous beauty of my surroundings.",to get and keep a supply of something such as food to use in the future
lay in,"On his journey to Brian Rogers ' cell, Raymond Orchard had been left in little doubt about what lay in store for him.",to get and keep a supply of something such as food to use in the future
lay in,The real danger lay in presenting the Maeve's beam to the seas once they were alongside.,to get and keep a supply of something such as food to use in the future
lay into,My parents really laid into me for being so late.,to attack someone physically or with cruel words because you are angry with them
lay into,"The tweets ignored her swimming and laid into her about her face, an insecurity she has had since childhood.",to attack someone physically or with cruel words because you are angry with them
lay off,But do you think Blizzard is going to lay off of you because you've left the force?,to stop doing something that is annoying someone
lay off,Do you think he's really gonna lay off trying to get the President canned?,to stop doing something that is annoying someone
lay off,I had to lay off the medication for a while to see if that was causing my headaches.,to stop doing something that is annoying someone
lay off,"I propose that we maintain this course throughout the night, then, shortly before dawn, lay off a course directly for Scapa Flow.","to stop doing or using something, especially for a short period of time"
lay off,Just lay off complaining for a minute!,to stop doing something that is annoying someone
lay off,Lay off! I’m trying to study.,to stop doing something that is annoying someone
lay off,They’ve had to cut back production and lay off workers.,to stop doing something that is annoying someone
lay off,This time tomorrow morning we'll lay off a more southerly course.,to stop doing something that is annoying someone
lay on,"Clyde lay on the gurney, bound, eyes closed, drawing deep breaths.","to tell or show something to someone, especially when you do not expect them to like it"
lay on,"Don’t lay it on too thick, or they’ll know you want something.","to tell or show something to someone, especially when you do not expect them to like it"
lay on,Extra buses are being laid on for late-night shoppers.,"to tell or show something to someone, especially when you do not expect them to like it"
lay on,Heike lay on her back with beads of moisture between her breasts.,"to tell or show something to someone, especially when you do not expect them to like it"
lay on,"Okay, I’m ready for the bad news. Lay it on me.","to tell or show something to someone, especially when you do not expect them to like it"
lay on,"She lay on her back, her spasmodic breathing beyond control.","to tell or show something to someone, especially when you do not expect them to like it"
lay on,"The woman lay on her back beside the sofa, her throat opened to the bone.","to tell or show something to someone, especially when you do not expect them to like it"
lay on,They laid on a special party to mark his 31 years of service.,"to tell or show something to someone, especially when you do not expect them to like it"
lay out,A display of local history material was laid out on the table.,to spend an amount of money
lay out,"I have to pull up my marker buoys, secure my derrick and boom, hoist up the boat, lay out our towing gear.",to spend an amount of money
lay out,Joe laid Ken out with one punch.,to spend an amount of money
lay out,"Judge Brody rapped his gavel, and Scofield called Sean McCarthy to lay out the case against Cardoni.",to spend an amount of money
lay out,"Not at Will this time, but at whatever lay out there in the night.",to spend an amount of money
lay out,She opened her suitcase and laid her clothes out on the bed.,to spend an amount of money
lay out,The brochure is beautifully laid out and illustrated.,to spend an amount of money
lay out,The city was laid out with the town hall on a hill in its centre.,to spend an amount of money
lay out,The documents lay out the principles clearly enough.,to spend an amount of money
lay out,There's a desk for you to lay out anything else you're going to need.,to spend an amount of money
lay out,They had already laid out a substantial sum for the wedding.,to spend an amount of money
lay up,"He was wounded in an air-raid when on the run, lay up for a long while, then got knocked about by Gestapo thugs.",same as lay
lay up,He’s still laid up with a bad back.,same as lay
lay up,I'm thinking we'd best lay up in this crack till night's over.,same as lay
lay up,Might have to lay up with you for a few days till things cool off.,same as lay
lay up,The lad lay up to his armpits in the stream and was shivering and blue about the lips.,same as lay
laze around,Your children shouldn’t be lazing around indoors on such a nice day.,same as laze
laze away,You can’t laze your days away doing nothing.,"to spend time relaxing and enjoying yourself, doing no work"
lead into,Discussion of a client’s tax affairs will lead naturally into consideration of investment options.,same as lead to
lead off,"By morning there'll be maybe some marks left, and they'll lead off to the north woods, but under the trees you won't find it.",to begin something by doing or saying something
lead off,She led off the afternoon with questions from the audience.,to begin something by doing or saying something
lead off,The Prime Minister had invited the President to lead off the press conference.,to begin something by doing or saying something
lead on,"And to Luke, `I'd follow her lead on this, old chap -- she sees these things more clearly...' te 12","to encourage someone to do something or to expect something, especially by lying to them or promising them something that they cannot have"
lead on,"As he stepped into his car, he promised to get in touch with Nancy as soon as he had a lead on her stolen convertible.","to encourage someone to do something or to expect something, especially by lying to them or promising them something that they cannot have"
lead on,"I hope he’s not just leading her on, because I’d hate to see her look foolish.","to encourage someone to do something or to expect something, especially by lying to them or promising them something that they cannot have"
lead on,"Sometimes - quite often, really - I thought about Eric, and that would lead on to thinking about Thea.","to encourage someone to do something or to expect something, especially by lying to them or promising them something that they cannot have"
lead on,You mentioned over lunch that you might have a lead on them.,"to encourage someone to do something or to expect something, especially by lying to them or promising them something that they cannot have"
lead on to,Anyone who says that marijuana does not lead on to other drugs is deluded.,same as lead to
lead on to,French doors lead on to a terrace with a sea view.,same as lead to
lead on to,Or a job down the high street that might lead on to management.,same as lead to
lead on to,Prout’s work on digestion led on to studies of proteins and fats.,same as lead to
lead on to,That leads on to one significant trend.,same as lead to
lead on to,This leads on to a second point.,same as lead to
lead on to,This leads on to the second flaw in the research.,same as lead to
lead to,Anyone who says that marijuana does not lead on to other drugs is deluded.,to begin a process that causes something to happen
lead to,French doors lead on to a terrace with a sea view.,to begin a process that causes something to happen
lead to,Or a job down the high street that might lead on to management.,to make someone think something
lead to,That leads on to one significant trend.,to begin a process that causes something to happen
lead to,The evidence leads me to a different conclusion.,to make someone think something
lead to,There is no doubt that stress can lead to physical illness.,to begin a process that causes something to happen
lead to,This leads on to a second point.,to make someone think something
lead to,This leads on to the second flaw in the research.,to make someone think something
lead to,a process of negotiation leading to a peaceful settlement,to make someone think something
lead up to,"I knew he was leading up to something, but I had no idea what.",to happen or exist immediately before something
lead up to,"If she had been writing dialogue for a play, she couldn't have written it any better, to lead up to her great line.",to happen or exist immediately before something
lead up to,In the weeks leading up to graduation I did very little.,to happen or exist immediately before something
lead up to,No.' `But are there any other stairs on this level that lead up to the next?,to happen or exist immediately before something
lead up to,The negotiations leading up to the contract were very tough.,to happen or exist immediately before something
lead up to,The stairs that lead up to the apartment are around on that side of the building.,to happen or exist immediately before something
lead with,He led with a right jab.,to begin an attack in boxing with a particular hand or hit
lead with,We’ll lead with the Prime Minister’s visit to China.,to begin an attack in boxing with a particular hand or hit
leak out,News leaked out that he was leaving the show.,to become known by the public
lean on,Everybody needs someone to lean on in times of trouble.,to put pressure on someone in order to make them do something
lean on,If Partridge suggested he leap from a bridge he would at least lean on the rail.,to press the horn of a car in a determined way
lean on,"Often, when rounding a curve he had to lean on Danlo to keep from falling.",to put pressure on someone in order to make them do something
lean on,"Rosie Quantock sensed his annoyance for she said at once,'I'm here for Delia to lean on.",to press the horn of a car in a determined way
lean on,The Prime Minister’s been leaning pretty heavily on her to resign.,to put pressure on someone in order to make them do something
lean on,"The taxi driver was waiting out front, leaning on the horn.",to press the horn of a car in a determined way
lean on,"Years ago, her dad had left her mum, leaving her mum to lean on her.",to depend on someone
leap at,"He looked through the list of names, but none leapt out at him.","to be immediately obvious to someone, or to immediately get their attention"
leap in,"When they see a marketing opportunity, companies leap in.","to do something immediately, and often with enthusiasm, as soon as you have the chance to do it"
leap on,She found herself leaping on the suggestion.,to be immediately very interested in something or very keen to do or have something
leap out at,"He looked through the list of names, but none leapt out at him.","to be immediately obvious to someone, or to immediately get their attention"
leap upon,She found herself leaping on the suggestion.,to be immediately very interested in something or very keen to do or have something
leave aside,"Leaving aside the financial implications, do you really believe your proposal will solve our problem?",to not consider something because you want to consider something else instead
leave behind,"At the base camp they left behind, soon only one blue barrel and one group of tents remained.",to forget to take someone or something with you
leave behind,Being in a bad mood about something that happened at work is not something you leave behind once you shut your office door.,to forget to take someone or something with you
leave behind,But the dancer enthuses about the country he left behind.,to forget to take someone or something with you
leave behind,Employees left behind after redundancies will stay longer if they see that their employer is acting responsibly.,to not take someone or something with you when you go somewhere
leave behind,Fashion houses who aren't designing clothes for bigger bodies are going to be left behind.,to not take someone or something with you when you go somewhere
leave behind,He had to leave his family behind in Chile.,to forget to take someone or something with you
leave behind,He leaves behind a country in ruins.,to forget to take someone or something with you
leave behind,He left behind him a country going to the dogs.,to forget to take someone or something with you
leave behind,He will leave behind a country that is both ruined and angry.,to forget to take someone or something with you
leave behind,It is not something I left behind.,to forget to take someone or something with you
leave behind,"It sang sweetly for a minute and went away, leaving behind a deep tranquillity.",to forget to take someone or something with you
leave behind,It wasn’t until she was halfway home that she realized that she’d left her purse behind.,to forget to take someone or something with you
leave behind,It's the stuff we've thrown away or left behind.,to forget to take someone or something with you
leave behind,Many people were left behind and aren't at all happy with the new situation.,to not take someone or something with you when you go somewhere
leave behind,My mum's worked hard all her life and now has something to leave behind for her kids which is very important to her.,to not take someone or something with you when you go somewhere
leave behind,Q What happens to all the camping gear left behind after a festival?,to forget to take someone or something with you
leave behind,The ones that take more than a week to go and then leave behind a scar for another month.,to forget to take someone or something with you
leave behind,The other approach would be via the flint implements and other archaeological remains that were left behind.,to forget to take someone or something with you
leave behind,The other climbers were fitter and more experienced and I was worried I’d get left behind.,to forget to take someone or something with you
leave behind,Then it was back to the team and the country he had left behind.,to forget to take someone or something with you
leave behind,"There were none of the items that are usually left behind after preparing explosives devices, suggesting that the syringes had been used for drug taking.",to not take someone or something with you when you go somewhere
leave behind,These things certainly take some leaving behind.,to forget to take someone or something with you
leave behind,"They come and go, leaving behind heartburn and skips full of ironic decorations.",to forget to take someone or something with you
leave behind,"Tip off the fat again, leaving behind any dark sauce and gooey bits.",to forget to take someone or something with you
leave behind,Two tonnes of canisters containing laughing gas were left behind after last year's festival.,to forget to take someone or something with you
leave behind,What do you do if your husband resents being left behind when you go to church each week?,to forget to take someone or something with you
leave behind,Wool can have toxic residues left behind after the sheep have been dipped which can remain in the fibre.,to not take someone or something with you when you go somewhere
leave behind,a young woman trying to leave behind a difficult adolescence,to forget to take someone or something with you
leave off,""""" You promised me that if I let you leave off the strapping you would not use that arm.",to stop doing something
leave off,"And still he kept seeing, and though there were horrors here, to be sure, nothing in him made him want to leave off his seeing.",to stop doing something
leave off,Europe is sealed off -- with the exception of Finland which you asked me to leave off the list.,to stop doing something
leave off,I wish he’d leave off moaning about everything!,to stop doing something
leave off,We're having pie and chips for tea tonight so I'll just eat the meat and the chips and leave off the pastry.,to stop doing something
leave out,"Annie thought of calling Michael, but she didn't know what to say and what to leave out, and suddenly she was very tired.",for telling someone to stop saying something
leave out,Maybe while they're at it they could leave out the mosquitoes and the ticks as well.,to not include someone or something
leave out,She feels left out because the other children don’t play with her.,to not include someone or something
leave out,We decided to leave the chapter out of the book altogether.,to not include someone or something
leave out,What the hell's going to happen to her when you leave out of here because I imagine that's what you aim to do.,to not include someone or something
leave over,There was some ham left over from lunch.,to still exist from the past
leave over,These attitudes are left over from the war.,to still exist from the past
let down,"And they'll stand anything, even murder, from the person who props them up, except being let down themselves.",to try to give someone bad news in a way that does not upset them too much
let down,Any boy who misbehaves will be letting down the whole school.,to try to give someone bad news in a way that does not upset them too much
let down,"Got let down by a colleague of mine, who turns out to have too many fish to fry.",to make someone or something less likely to be successful or effective
let down,I couldn't shake the feeling that I'd somehow let down Will by telling everything I knew about that night.,to allow someone or something to move to a lower position
let down,I was a bit late but I couldn’t let them down completely.,to allow someone or something to move to a lower position
let down,Let the bucket down carefully into the well.,to allow someone or something to move to a lower position
let down,"Lying with his head in her lap, Will was relaxed enough to let down some of his defences, to trust her with an occasional truth.",to allow someone or something to move to a lower position
let down,"She’s a great player, and never lets her team down.",to try to give someone bad news in a way that does not upset them too much
let down,The families of the victims feel that the justice system has let them down.,to try to give someone bad news in a way that does not upset them too much
let down,The whole system is let down by the poor quality of the graphics.,to try to give someone bad news in a way that does not upset them too much
let in,Don’t let anybody in – I’ll be back in 15 minutes.,to put yourself in a difficult situation
let in,He climbed out of bed and opened the window to let in some fresh air.,to put yourself in a difficult situation
let in,"Riley's PC sat on a desk near a window that let in the silvery, misty sunlight.",to put yourself in a difficult situation
let in,She didn’t know what she was letting herself in for when she married John.,to put yourself in a difficult situation
let in,"Taking a deep breath, he fired the engine and let in the clutch.",to put yourself in a difficult situation
let in,You’ve got to learn to let me in.,to put yourself in a difficult situation
let in on,"But if I'm let in on this letter stuff, well, obviously it's privileged info which I can't talk about.",to tell someone a secret
let in on,"If the public has to be let in on what we're doing, we're constructing a feminine robot with intuition.",to tell someone a secret
let in on,"If you promise not to tell, I’ll let you in on a secret.",to tell someone a secret
let in on,"They were planning something, but they wouldn’t let me in on it.",to tell someone a secret
let into,It is as if you had been let into a secret.,same as let
let into,Then he was let into the secret.,same as let
let into,They didn’t let any customers into the shop until 10 o’clock sharp.,same as let
let off,"Firing dead ahead over Onyschuk's twitching, clawing hands, I let off a round at the sloping rock on the water's edge.",to fire a gun or bullet
let off,"He couldn't, and we both knew it, but he needed to let off steam, and I needed a pillow and mattress.",to allow someone not to do something that they were expecting to have to do
let off,"He had the look of someone who was imploring to be let off some task that was too much for him, too difficult, too painful.",to allow someone not to do something that they were expecting to have to do
let off,"I was pulled over for speeding, but I was let off with a warning.",to fire a gun or bullet
let off,"She might not want a shoulder to cry on, but I could give her a place where she could let off a little steam.",to allow someone not to do something that they were expecting to have to do
let off,They let her off lightly because she’s only sixteen.,to allow someone not to do something that they were expecting to have to do
let off,"When we were in port, he let me off work and allowed me to go ashore.",to allow someone not to do something that they were expecting to have to do
let off,You can let me off at the corner.,to fire a gun or bullet
let on,"And if she does and then discovers it's all a stunt, she'll never let on.",to admit something
let on,Don’t let on that I told you.,to admit something
let on,He knows more than he lets on.,to admit something
let on,How did she plan the surprise party without letting on to her husband?,to admit something
let on,I figured it was best for all concerned if I didn't let on I was there.,to admit something
let on,"I never heard of any of them except Einstein, but I didn't let on.",to admit something
let on,"`You've more courage than you like to let on about,"" Robina said.",to admit something
let out,"As he walked away, he let out a sigh of relief.",to make a noise
let out,But it had an as far as practicable clause that could be a merciful let-out.,to make a noise
let out,I let out my breath: I'd been unaware I'd been holding it in.,to make a noise
let out,I’m going to have this skirt let out.,to make a noise
let out,Smokes honked the horn and let out his high-pitched girlish giggle.,to make a noise
let out,We could always let out the spare room.,to make a noise
let out,"With her feet spread wide, she threw back her head and let out a wild, piercing scream.",to make a noise
let out,"Would you let the dog out, please?",to make a noise
let out,"`Ah,' said Mr Golightly, mentally fishing around for a plausible let-out.",to make a noise
let out,"`Do you realise, Comrade Didenko, the nature of the animal you propose to let out of its cage?",to make a noise
let up,"Boy, you just never let up, do you?","to put less effort into something, especially criticizing someone or making them work harder"
let up,It was barely light and unlikely to get any lighter unless the rain let up.,"to put less effort into something, especially criticizing someone or making them work harder"
let up,She had pushed her outworkers until they screamed at her to let up.,"to put less effort into something, especially criticizing someone or making them work harder"
let up,She’s a coach who never lets up on her players.,"to put less effort into something, especially criticizing someone or making them work harder"
let up,The icy wind never let up for a moment.,"if something bad or unpleasant lets up, it slows down or stops"
let up,The wreckage fell behind and still the traffic did not let up.,"if something bad or unpleasant lets up, it slows down or stops"
let up,There is no let up in the unremitting tedium of his conversation.,"to put less effort into something, especially criticizing someone or making them work harder"
let up,"Things haven’t let up at work, I’m still working over 60 hours a week.","to put less effort into something, especially criticizing someone or making them work harder"
level at,Andy levelled the revolver at me menacingly.,to point a weapon at someone
level at,Several criticisms have been levelled at the company’s board of directors.,to point a weapon at someone
level at,Some serious allegations have been levelled against the chairman.,to point a weapon at someone
level off,Oil prices should level out now that the war is over.,to make something flat
level off,The ground will have to be levelled off before we can start building.,to make something flat
level off,"The plane will level off at around 35,000 feet.",to make something flat
level off,The road levels out as you get close to the village.,to make something flat
level out,Oil prices should level out now that the war is over.,to make something flat
level out,The ground will have to be levelled off before we can start building.,to make something flat
level out,"The plane will level off at around 35,000 feet.",to make something flat
level out,The road levels out as you get close to the village.,to make something flat
level up,The government is levelling up the tax on beer and wine.,to increase or improve something in order to make it the same as other things of its type
lie about,He just lies around the house all day.,to spend time being lazy when you should be doing something
lie about,Never leave cash or other valuables just lying around.,to spend time being lazy when you should be doing something
lie about,We lay around all day playing cards and watching television.,to spend time being lazy when you should be doing something
lie about,You shouldn’t leave bottles of pills lying around the house.,to have been left somewhere instead of being put in the correct place
lie ahead,We need to be ready for whatever problems lie ahead.,"if something lies ahead, especially something difficult or unpleasant, it is going to happen in the future and you will have to deal with it"
lie around,He just lies around the house all day.,to spend time being lazy when you should be doing something
lie around,Never leave cash or other valuables just lying around.,to spend time being lazy when you should be doing something
lie around,We lay around all day playing cards and watching television.,to spend time being lazy when you should be doing something
lie around,You shouldn’t leave bottles of pills lying around the house.,to have been left somewhere instead of being put in the correct place
lie back,An idyllic place in which to lie back and smell the lemons.,to move from a sitting position into a position in which you are lying flat on a surface
lie back,Lie back and relax for thirty minutes.,to move from a sitting position into a position in which you are lying flat on a surface
lie back,The doctor asked me to lie back on the couch.,to move from a sitting position into a position in which you are lying flat on a surface
lie behind,Arrange a chat about what lies behind her hatred and try to be sympathetic.,to be the real reason for a decision or action
lie behind,But more profound reasons lie behind the need for lying in the initial stages of courtship.,to be the real reason for a decision or action
lie behind,Chat about what lies behind the problem.,to be the real reason for a decision or action
lie behind,Does the potential threat to the availability of such information lie behind the protests about the proposed privatisation of this body?,to be the real reason for a decision or action
lie behind,Help her explore what may lie behind the weight problem.,to be the real reason for a decision or action
lie behind,Help him explore what may lie behind his weight problem and his attitude to life generally.,to be the real reason for a decision or action
lie behind,I know from thousands of your letters and emails that a badly handled split often lies behind problems that many young people suffer.,to be the real reason for a decision or action
lie behind,"It can lie behind heart attacks, strokes and kidney problems.",to be the real reason for a decision or action
lie behind,Many worry about what lies behind this curve and one of the most persistent fears concerns man-made chemicals.,to be the real reason for a decision or action
lie behind,Our problem is what lies behind the anger.,to be the real reason for a decision or action
lie behind,There can be all sorts of reasons lying behind favouritism.,to be the real reason for a decision or action
lie behind,Two big new problems lie behind the plight of middle-income families in work.,to be the real reason for a decision or action
lie behind,We’d like to know what lay behind her decision to change her will.,to be the real reason for a decision or action
lie down,"A short lie-down would do no harm -- it would refresh him, pep him up for starting work on the soap opera.",same as lie
lie down,Dogs don't normally haunt: when they're dead they lie down: their graves are quiet.,to not work as hard at something as you should do
lie down,I drove past the Shangri La Hotel and thought about going in there for a Club beer or six and a long lie down.,same as lie
lie down,"It was about eleven o'clock, and he'd just come back from a lie-down on his settee, where he could have the TV on to cut down the throbbing.",same as lie
lie down,I’m going to go and lie down for a while.,same as lie
lie down,Lie down and relax.,to not work as hard at something as you should do
lie down,"Now if I were you I'd have a nice lie-down, and I'll come in later and make your supper.",to not work as hard at something as you should do
lie down,"The couch was just big enough for us to lie down together, me half on top of Art.",same as lie
lie in,We usually lie in on Sundays.,to stay in bed in the morning for longer than usual
lie with,There is evidence to suggest that some blame lies with the police.,an old phrase meaning ‘to have sex with someone’
lie with,"Unfortunately, the decision doesn’t lie with our department.",an old phrase meaning ‘to have sex with someone’
lift up,He lifted up the heavy bags.,same as lift
lift up,We could hear the gospel groups lift up their voices.,same as lift
light on,"Bangazi Lodge, roughly a kilometre away, stood out like a Disneyland fantasy etched in light on the dark waters of the lake.",to suddenly find something or think of something
light on,"He switched the forward light on without slowing down, guessing at Tania's uneasy surprise.",to suddenly find something or think of something
light on,"Its facets caught the autumnal brightness from outside, flashing specks of light on the ceiling.",to suddenly find something or think of something
light on,Suddenly she lit upon a new way of approaching the problem.,to suddenly find something or think of something
light up,A warning signal lit up on the dashboard.,same as light
light up,A woman in a white cape and dress offered a cigarette from which her escort could light up his own.,to light a cigarette
light up,Antony’s eyes lit up when Keiko walked into the room.,same as light
light up,Fireworks were lighting up the night sky.,to light a cigarette
light up,Her boss had finally gone out to run some errands and she had flown into the staffroom as quickly as she could to light up a cigarette.,to light a cigarette
light up,"His fingers twitched, wanting a smoke, but he didn't light up.",same as light
light up,In the blacked-out city far below a few fires set in trash cans now light up small patches of street.,to light a cigarette
light up,There was a flash of lightning and the sky lit up.,same as light
light up,They could see the airport lit up far below them.,same as light
lighten up,His companions laughed it off and told him to lighten up.,same as lighten
lighten up,"Oh, lighten up! It’s not a matter of life or death.",same as lighten
lighten up,Share it with your partner but tell him to lighten up.,same as lighten
lighten up,What can we do to lighten things up?,same as lighten
line up,All children must line up when the whistle goes.,"if people are lining up to do something, they all want to do it at the same time"
line up,"Broker tried to line up Sommer's green parka with the end of the point that appeared, then disappeared, playing peek-a-boo.","if people are lining up to do something, they all want to do it at the same time"
line up,"Faced with the usual line-up of beautiful, slender models, they'd been fascinated by the real life, voluptuous glamour of Holly.","if people are lining up to do something, they all want to do it at the same time"
line up,He had not seen Inspector Malone when he came out of the line-up room.,"if people are lining up to do something, they all want to do it at the same time"
line up,He lined the ball up and kicked it straight into the net.,"if people are lining up to do something, they all want to do it at the same time"
line up,Her colleagues are lining up to demand her resignation.,"if people are lining up to do something, they all want to do it at the same time"
line up,Hold a pen in front of you and line up its tip with some distant object.,"to move something into the correct position in relation to something else, especially so that it is level with it"
line up,"Sonia adjusted her full-blown crown, beamed at her subjects, and swaggered back into the line-up.","if people are lining up to do something, they all want to do it at the same time"
line up,The books are lined up on a shelf above the desk.,"if people are lining up to do something, they all want to do it at the same time"
line up,We have a series of activities lined up to keep you entertained.,"if people are lining up to do something, they all want to do it at the same time"
linger on,"Ten years later, the memory still lingers on.",same as linger
link up,All our computers link up to a central server.,to join with someone in order to do something together
link up,The Internet allows users to link up with people from anywhere in the world.,to join with someone in order to do something together
link up,The space shuttle will link up with the space station this afternoon.,to join with someone in order to do something together
link up,We are interested in linking up with an overseas club.,to join with someone in order to do something together
link up,We found various bits of information and tried to link them up.,to join with someone in order to do something together
listen in,"At the hearth, the innkeep was adding chunks of some indefinable vegetable to the stew pot, but he stopped to listen in.",to listen to a radio programme
listen in,Carter nodded and indicated to turn the volume up on the speaker so they could listen in.,to listen to a radio programme
listen in,"If you like country music, listen in at 8 tonight.",to listen to a radio programme
